TF_NAME	SYNONYM	DNA_BINDING	ENCODE_TF_NAME	JASPAR_TF_NAME	PFM_ID	VERSION	JASPAR_ID	COLLECTION	CELL_LINE	DATA_SET
ARID3A	BRIGHT|DRIL1|DRIL3|E2FBP1	yes	ARID3A	ARID3A	MA0151	1	9389	CORE	HepG2	ENCSR000EDP
ARID3A	BRIGHT|DRIL1|DRIL3|E2FBP1	yes	ARID3A	ARID3A	MA0151	1	9389	CORE	K562	ENCSR000EFY
ARID3A	BRIGHT|DRIL1|DRIL3|E2FBP1	yes	ARID3A	ARID3A	MA0151	1	9389	CORE	GM12878	ENCSR725LYT
ARNT	HIF-1-BETA|HIF-1BETA|HIF1-BETA|HIF1B|HIF1BETA|TANGO|BHLHE2	yes	ARNT	ARNT	MA0004	1	9232	CORE	K562	ENCSR155KHM
ATF1	EWS-ATF1|FUS/ATF-1|TREB36	yes	ATF1	ATF1	MA0604	1	10767	CORE	K562	ENCSR000DNZ
ATF1	EWS-ATF1|FUS/ATF-1|TREB36	yes	EGFP-ATF1	ATF1	MA0604	1	10767	CORE	K562	ENCSR091GVJ
ATF1	EWS-ATF1|FUS/ATF-1|TREB36	yes	FLAG-ATF1	ATF1	MA0604	1	10767	CORE	K562	ENCSR159OCC
ATF1	EWS-ATF1|FUS/ATF-1|TREB36	yes	FLAG-ATF1	ATF1	MA0604	1	10767	CORE	HepG2	ENCSR253OON
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	GM12878	ENCSR000BJY
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	H1-hESC	ENCSR000BKC
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	HepG2	ENCSR000BKE
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	K562	ENCSR000BNU
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	A549	ENCSR000BPS
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	HCT116	ENCSR000BUG
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	K562	ENCSR000DOG
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	liver	ENCSR205FOW
ATF3	NA	yes	ATF3	ATF3	MA0605	1	10768	CORE	liver	ENCSR480LIS
ATF4	CREB-2|CREB2|TAXREB67|TXREB	yes	FLAG-ATF4	ATF4	MA0833	1	11048	CORE	HepG2	ENCSR669LCD
ATF7	ATFA	yes	ATF7	ATF7	MA0834	1	11049	CORE	K562	ENCSR972ZBV
BACH1	BACH-1	yes	BACH1	BACH1::MAFK	MA0591	1	10753	CORE	H1-hESC	ENCSR000EBQ
BACH1	BACH-1	yes	BACH1	BACH1::MAFK	MA0591	1	10753	CORE	K562	ENCSR000EGD
BACH1	BACH-1	yes	BACH1	BACH1::MAFK	MA0591	1	10753	CORE	A549	ENCSR043EHG
BACH1	BACH-1	yes	BACH1	BACH1::MAFK	MA0591	1	10753	CORE	GM12878	ENCSR585CVE
BACH1	BACH-1	yes	BACH1	BACH1::MAFK	MA0591	1	10753	CORE	HepG2	ENCSR699TNT
BACH1	BACH-1	yes	EGFP-BACH1	BACH1::MAFK	MA0591	1	10753	CORE	K562	ENCSR740NPG
BATF	B-ATF|BATF1|SFA-2|SFA2	yes	BATF	BATF::JUN	MA0462	1	10582	CORE	GM12878	ENCSR000BGT
BHLHE40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	BHLHE40	BHLHE40	MA0464	2	11029	CORE	HepG2	ENCSR000BID
BHLHE40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	BHLHE40	BHLHE40	MA0464	2	11029	CORE	A549	ENCSR000DYJ
BHLHE40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	BHLHE40	BHLHE40	MA0464	2	11029	CORE	GM12878	ENCSR000DZJ
BHLHE40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	BHLHE40	BHLHE40	MA0464	2	11029	CORE	HepG2	ENCSR000EDT
BHLHE40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	BHLHE40	BHLHE40	MA0464	2	11029	CORE	K562	ENCSR000EGV
BHLHE40	BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14	yes	BHLHE40	BHLHE40	MA0464	2	11029	CORE	GM12878	ENCSR517QHU
CEBPB	C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5	yes	CEBPB	CEBPB	MA0466	2	11051	CORE	HepG2	ENCSR000BQI
CEBPB	C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5	yes	CEBPB	CEBPB	MA0466	2	11051	CORE	K562	ENCSR000BRQ
CEBPB	C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5	yes	CEBPB	CEBPB	MA0466	2	11051	CORE	GM12878	ENCSR000BRX
CEBPB	C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5	yes	CEBPB	CEBPB	MA0466	2	11051	CORE	HCT116	ENCSR000BSD
