TF_NAME	SYNONYM	DNA_BINDING	GEO_TF_NAME	JASPAR_TF_NAME	PFM_ID	VERSION	JASPAR_ID	COLLECTION	CELL_LINE	DATA_SET	ID
AHR	BHLHE76	yes	AHR	AHR::ARNT	MA0006	1	9234	CORE	MCF7	GSE41820	GSE41820.AHR.MCF7
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAP	GSE31294	GSE31294.AR.LNCAP
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_R1881_10C30	GSE32892	GSE32892.AR.VCAP_R1881_10C30
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_R1881_10C26	GSE32892	GSE32892.AR.VCAP_R1881_10C26
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP	GSE32892	GSE32892.AR.VCAP
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_R1881_1C26	GSE32892	GSE32892.AR.VCAP_R1881_1C26
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_R1881	GSE32892	GSE32892.AR.VCAP_R1881
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_R1881_0	GSE32892	GSE32892.AR.VCAP_R1881_0
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_R1881_1C30	GSE32892	GSE32892.AR.VCAP_R1881_1C30
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAPRATGR_CPA	GSE36620	GSE36620.AR.LNCAPRATGR_CPA
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	VCAP_DHT	GSE36620	GSE36620.AR.VCAP_DHT
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAPRATGR_BICA	GSE36620	GSE36620.AR.LNCAPRATGR_BICA
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAPRATGR_RU486	GSE36620	GSE36620.AR.LNCAPRATGR_RU486
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAPRATGR_VEH	GSE36620	GSE36620.AR.LNCAPRATGR_VEH
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAPRATGR_DHT_DEX	GSE36620	GSE36620.AR.LNCAPRATGR_DHT_DEX
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAP_SHFOXA1_R1881_HD	GSE37345	GSE37345.AR.LNCAP_SHFOXA1_R1881_HD
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAP_SHCTR_R1881	GSE37345	GSE37345.AR.LNCAP_SHCTR_R1881
AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	AR	AR	MA0007	3	10799	CORE	LNCAP_SHCTR_R1881_HD	GSE37345	GSE37345.AR.LNCAP_SHCTR_R1881_HD
